物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型
三湾,盐都区,865262_11,320931,14594311,865262,11,YC_YD_ZX_三湾_FL9_A_1,11,144,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_三湾_FL9,120.07399,33.23013,28,0,1,1,宏站,1
三湾,盐都区,865262_21,320931,14594311,865262,21,YC_YD_ZX_三湾_FL9_B_1,21,145,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_三湾_FL9,120.07399,33.23013,35,120,1,1,宏站,1
三湾,盐都区,865262_31,320931,14594311,865262,31,YC_YD_ZX_三湾_FL9_C_1,31,146,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_三湾_FL9,120.07399,33.23013,9,240,1,1,宏站,1
裕华海防,大丰区,866069_11,320934,14594872,866069,11,YC_DF_ZX_裕华海防_FL9_A_1,11,90,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_裕华海防_FL9,120.573421,33.224581,21,0,1,1,宏站,1
裕华海防,大丰区,866069_21,320934,14594872,866069,21,YC_DF_ZX_裕华海防_FL9_B_1,21,91,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_裕华海防_FL9,120.573421,33.224581,28,120,1,1,宏站,1
裕华海防,大丰区,866069_31,320934,14594872,866069,31,YC_DF_ZX_裕华海防_FL9_C_1,31,92,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_裕华海防_FL9,120.573421,33.224581,35,240,1,1,宏站,1
川东闸,大丰区,865212_21,320934,14594824,865212,21,YC_DF_ZX_川东闸_FL9_BA_1,21,142,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_川东闸_FL9,120.794653,33.056319,49,120,1,1,宏站,1
川东闸,大丰区,865212_31,320934,14594824,865212,31,YC_DF_ZX_川东闸_FL9_C_1,31,143,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_川东闸_FL9,120.794653,33.056319,56,240,1,1,宏站,1
滨海县_H5滨海新生港闸沿海_宏站型,滨海县,866101_11,320936,14595376,866101,11,YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9_A_1,11,486,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9,120.149101,34.353161,280,120,1,1,宏站,1
滨海县_H5滨海新生港闸沿海_宏站型,滨海县,866101_21,320936,14595376,866101,21,YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9_B_1,21,487,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9,120.149101,34.353161,284,200,1,1,宏站,1
滨海县_H5滨海新生港闸沿海_宏站型,滨海县,866101_31,320936,14595376,866101,31,YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9_C_1,31,488,20925,8,909.5,954.5,10(50RB)[3],YC_BH_ZX_滨海县H5滨海新生港闸沿海_FL9,120.149101,34.353161,288,290,1,1,宏站,1
蒋营收成村,建湖县,865511_21,320939,14596110,865511,21,YC_JH_ZX_蒋营收成村_FL9_B_1,21,262,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_蒋营收成村_FL9,119.653611,33.440486,28,120,1,1,宏站,1
蒋营收成村,建湖县,865511_31,320939,14596110,865511,31,YC_JH_ZX_蒋营收成村_FL9_CA_1,31,263,20923,8,909.5,954.5,10(50RB)[3],YC_JH_ZX_蒋营收成村_FL9,119.653611,33.440486,35,240,1,1,宏站,1
